Days Until Departure,Total Price,Airline,Aircraft,Departure Airport,Arrival Airport,Departure Time,Cabin
2,10369.0,AI,32N,MAA,DEL,2025-11-09T08:05:00,ECONOMY
2,10369.0,AI,32N,MAA,DEL,2025-11-09T16:55:00,ECONOMY
2,10369.0,AI,32N,MAA,DEL,2025-11-09T06:50:00,ECONOMY
2,10639.0,AI,32N,MAA,DEL,2025-11-09T16:00:00,ECONOMY
2,10639.0,AI,32N,MAA,DEL,2025-11-09T11:20:00,ECONOMY
2,10639.0,AI,32N,MAA,DEL,2025-11-09T17:30:00,ECONOMY
2,12419.0,AI,737,MAA,JAI,2025-11-09T20:00:00,ECONOMY
3,7887.0,AI,737,MAA,VNS,2025-11-10T14:00:00,ECONOMY
3,8297.0,AI,737,MAA,STV,2025-11-10T06:25:00,ECONOMY
3,8297.0,AI,737,MAA,STV,2025-11-10T06:25:00,ECONOMY
3,9477.0,AI,32N,MAA,DEL,2025-11-10T08:05:00,ECONOMY
3,9477.0,AI,77W,MAA,DEL,2025-11-10T20:40:00,ECONOMY
3,9477.0,AI,321,MAA,DEL,2025-11-10T06:00:00,ECONOMY
3,9477.0,AI,32N,MAA,DEL,2025-11-10T16:55:00,ECONOMY
3,9477.0,AI,32N,MAA,DEL,2025-11-10T21:45:00,ECONOMY
3,9477.0,AI,32N,MAA,DEL,2025-11-10T11:20:00,ECONOMY
3,9719.0,AI,32N,MAA,DEL,2025-11-10T06:50:00,ECONOMY
4,9147.0,AI,737,MAA,VNS,2025-11-11T14:00:00,ECONOMY
4,9477.0,AI,32N,MAA,DEL,2025-11-11T08:05:00,ECONOMY
4,9477.0,AI,77W,MAA,DEL,2025-11-11T20:40:00,ECONOMY
4,9477.0,AI,321,MAA,DEL,2025-11-11T06:00:00,ECONOMY
4,9477.0,AI,32N,MAA,DEL,2025-11-11T11:20:00,ECONOMY
4,9477.0,AI,32N,MAA,DEL,2025-11-11T16:55:00,ECONOMY
4,9477.0,AI,32N,MAA,DEL,2025-11-11T21:45:00,ECONOMY
4,9477.0,AI,32N,MAA,DEL,2025-11-11T06:50:00,ECONOMY
4,9719.0,AI,32N,MAA,DEL,2025-11-11T17:30:00,ECONOMY
4,9949.0,AI,737,MAA,HYD,2025-11-11T22:10:00,ECONOMY
5,7925.0,AI,737,MAA,STV,2025-11-12T06:25:00,ECONOMY
5,8297.0,AI,737,MAA,STV,2025-11-12T06:25:00,ECONOMY
5,8427.0,AI,737,MAA,VNS,2025-11-12T14:00:00,ECONOMY
5,9477.0,AI,321,MAA,DEL,2025-11-12T06:10:00,ECONOMY
5,9477.0,AI,32N,MAA,DEL,2025-11-12T08:05:00,ECONOMY
5,9477.0,AI,77W,MAA,DEL,2025-11-12T20:40:00,ECONOMY
5,9477.0,AI,32N,MAA,DEL,2025-11-12T16:55:00,ECONOMY
5,9477.0,AI,32N,MAA,DEL,2025-11-12T21:45:00,ECONOMY
5,9477.0,AI,32N,MAA,DEL,2025-11-12T06:50:00,ECONOMY
5,9719.0,AI,32N,MAA,DEL,2025-11-12T17:30:00,ECONOMY
6,9477.0,AI,32N,MAA,DEL,2025-11-13T08:05:00,ECONOMY
6,9477.0,AI,77W,MAA,DEL,2025-11-13T20:40:00,ECONOMY
6,9477.0,AI,321,MAA,DEL,2025-11-13T06:00:00,ECONOMY
6,9477.0,AI,32N,MAA,DEL,2025-11-13T16:55:00,ECONOMY
6,9477.0,AI,32N,MAA,DEL,2025-11-13T21:45:00,ECONOMY
6,9477.0,AI,32N,MAA,DEL,2025-11-13T06:50:00,ECONOMY
6,9719.0,AI,32N,MAA,DEL,2025-11-13T17:30:00,ECONOMY
6,9866.0,AI,737,MAA,VNS,2025-11-13T14:00:00,ECONOMY
6,10369.0,AI,32N,MAA,DEL,2025-11-13T16:00:00,ECONOMY
6,10369.0,AI,32N,MAA,DEL,2025-11-13T11:20:00,ECONOMY
7,8297.0,AI,737,MAA,STV,2025-11-14T06:25:00,ECONOMY
7,8297.0,AI,737,MAA,STV,2025-11-14T06:25:00,ECONOMY
7,8427.0,AI,737,MAA,VNS,2025-11-14T14:00:00,ECONOMY
7,9477.0,AI,32N,MAA,DEL,2025-11-14T08:05:00,ECONOMY
7,9477.0,AI,321,MAA,DEL,2025-11-14T06:00:00,ECONOMY
7,9477.0,AI,32N,MAA,DEL,2025-11-14T21:45:00,ECONOMY
7,9477.0,AI,32N,MAA,DEL,2025-11-14T06:50:00,ECONOMY
7,9719.0,AI,77W,MAA,DEL,2025-11-14T20:40:00,ECONOMY
7,9719.0,AI,32N,MAA,DEL,2025-11-14T17:30:00,ECONOMY
7,9843.0,AI,737,MAA,GOX,2025-11-14T16:40:00,ECONOMY
8,9477.0,AI,321,MAA,DEL,2025-11-15T06:10:00,ECONOMY
8,9477.0,AI,32N,MAA,DEL,2025-11-15T08:05:00,ECONOMY
8,9477.0,AI,77W,MAA,DEL,2025-11-15T20:40:00,ECONOMY
8,9477.0,AI,32N,MAA,DEL,2025-11-15T21:45:00,ECONOMY
8,9477.0,AI,32N,MAA,DEL,2025-11-15T06:50:00,ECONOMY
8,9719.0,AI,32N,MAA,DEL,2025-11-15T16:55:00,ECONOMY
8,9719.0,AI,32N,MAA,DEL,2025-11-15T17:30:00,ECONOMY
8,10369.0,AI,32N,MAA,DEL,2025-11-15T16:00:00,ECONOMY
8,10639.0,AI,32N,MAA,DEL,2025-11-15T11:20:00,ECONOMY
8,11264.0,AI,737,MAA,JAI,2025-11-15T20:00:00,ECONOMY
9,9477.0,AI,321,MAA,DEL,2025-11-16T06:10:00,ECONOMY
9,9477.0,AI,32N,MAA,DEL,2025-11-16T08:05:00,ECONOMY
9,9477.0,AI,77W,MAA,DEL,2025-11-16T20:40:00,ECONOMY
9,9477.0,AI,32N,MAA,DEL,2025-11-16T21:45:00,ECONOMY
9,10369.0,AI,32N,MAA,DEL,2025-11-16T16:55:00,ECONOMY
9,10369.0,AI,32N,MAA,DEL,2025-11-16T06:50:00,ECONOMY
9,10639.0,AI,32N,MAA,DEL,2025-11-16T16:00:00,ECONOMY
9,10639.0,AI,32N,MAA,DEL,2025-11-16T11:20:00,ECONOMY
9,10639.0,AI,32N,MAA,DEL,2025-11-16T17:30:00,ECONOMY
9,11419.0,AI,32N,MAA,DEL,2025-11-16T09:50:00,ECONOMY
10,7887.0,AI,737,MAA,VNS,2025-11-17T14:00:00,ECONOMY
10,7925.0,AI,737,MAA,STV,2025-11-17T06:25:00,ECONOMY
10,8297.0,AI,737,MAA,STV,2025-11-17T06:25:00,ECONOMY
10,9477.0,AI,32N,MAA,DEL,2025-11-17T08:05:00,ECONOMY
10,9477.0,AI,77W,MAA,DEL,2025-11-17T20:40:00,ECONOMY
10,9477.0,AI,321,MAA,DEL,2025-11-17T06:00:00,ECONOMY
10,9477.0,AI,32N,MAA,DEL,2025-11-17T16:55:00,ECONOMY
10,9477.0,AI,32N,MAA,DEL,2025-11-17T21:45:00,ECONOMY
10,9719.0,AI,32N,MAA,DEL,2025-11-17T06:50:00,ECONOMY
10,9719.0,AI,32N,MAA,DEL,2025-11-17T17:30:00,ECONOMY
11,7887.0,AI,737,MAA,VNS,2025-11-18T14:00:00,ECONOMY
11,9477.0,AI,32N,MAA,DEL,2025-11-18T08:05:00,ECONOMY
11,9477.0,AI,77W,MAA,DEL,2025-11-18T20:40:00,ECONOMY
11,9477.0,AI,32N,MAA,DEL,2025-11-18T16:00:00,ECONOMY
11,9477.0,AI,321,MAA,DEL,2025-11-18T06:00:00,ECONOMY
11,9477.0,AI,32N,MAA,DEL,2025-11-18T11:20:00,ECONOMY
11,9477.0,AI,32N,MAA,DEL,2025-11-18T16:55:00,ECONOMY
11,9477.0,AI,32N,MAA,DEL,2025-11-18T21:45:00,ECONOMY
11,9477.0,AI,32N,MAA,DEL,2025-11-18T06:50:00,ECONOMY
11,9719.0,AI,32N,MAA,DEL,2025-11-18T17:30:00,ECONOMY
12,7925.0,AI,737,MAA,STV,2025-11-19T06:25:00,ECONOMY
12,8297.0,AI,737,MAA,STV,2025-11-19T06:25:00,ECONOMY
12,8427.0,AI,737,MAA,VNS,2025-11-19T14:00:00,ECONOMY
12,9477.0,AI,32N,MAA,DEL,2025-11-19T08:05:00,ECONOMY
12,9477.0,AI,77W,MAA,DEL,2025-11-19T20:40:00,ECONOMY
12,9477.0,AI,32N,MAA,DEL,2025-11-19T16:55:00,ECONOMY
